,feature,label
272,G_30_2,1.9999999999999785
273,G_30_3,1.0
274,G_30_4,0.9999999999999998
275,G_30_5,2.0
276,G_30_6,0.0
277,G_30_7,1.0
278,G_30_8,0.0
279,G_31_0,0.0
280,G_31_1,0.0
281,G_31_2,1.9999999999999785
282,G_31_3,1.0
283,G_31_4,0.9999999999999998
284,G_31_5,1.0000000000000138
285,G_31_6,0.0
286,G_31_7,1.0
287,G_31_8,0.0
288,G_32_0,-0.0
289,G_32_1,-0.0
290,G_32_2,1.9999999999999785
291,G_32_3,0.0
292,G_32_4,0.9999999999999998
293,G_32_5,1.0000000000000138
294,G_32_6,0.0
295,G_32_7,1.0
296,G_32_8,0.0
297,G_33_0,-0.0
298,G_33_1,-0.0
299,G_33_2,1.9999999999999785
300,G_33_3,0.0
301,G_33_4,0.9999999999999998
302,G_33_5,2.0000000000000138
303,G_33_6,0.0
304,G_33_7,1.0
305,G_33_8,0.0
306,G_34_0,0.0
307,G_34_1,0.0
308,G_34_2,1.9999999999999785
309,G_34_3,0.0
310,G_34_4,2.0
311,G_34_5,2.0
312,G_34_6,0.0
313,G_34_7,1.0
314,G_34_8,0.0
315,G_35_0,0.0
316,G_35_1,0.0
317,G_35_2,1.9999999999999785
318,G_35_3,0.0
319,G_35_4,2.0
320,G_35_5,1.0
321,G_35_6,0.0
322,G_35_7,1.0
323,G_35_8,-0.0
324,G_36_0,0.0
325,G_36_1,0.0
326,G_36_2,0.9999999999999785
327,G_36_3,0.0
328,G_36_4,2.0
329,G_36_5,1.0
330,G_36_6,0.0
331,G_36_7,1.0
332,G_36_8,0.0
333,G_37_0,0.0
334,G_37_1,0.0
335,G_37_2,0.9999999999999785
336,G_37_3,0.0
337,G_37_4,1.0
338,G_37_5,1.0
339,G_37_6,0.0
340,G_37_7,1.0
341,G_37_8,0.0
342,G_38_0,0.0
343,G_38_1,0.0
344,G_38_2,0.9999999999999785
345,G_38_3,0.0
346,G_38_4,1.0
347,G_38_5,2.0
348,G_38_6,0.0
349,G_38_7,1.0
350,G_38_8,0.0
351,G_39_0,-0.0
352,G_39_1,-0.0
353,G_39_2,0.9999999999999785
354,G_39_3,0.0
355,G_39_4,0.0
356,G_39_5,2.0
357,G_39_6,0.0
358,G_39_7,1.0
359,G_39_8,0.0
360,G_40_0,-0.0
361,G_40_1,-0.0
362,G_40_2,0.9999999999999785
363,G_40_3,1.0
364,G_40_4,0.0
365,G_40_5,2.0
366,G_40_6,0.0
367,G_40_7,1.0
368,G_40_8,0.0
369,G_41_0,0.0
370,G_41_1,0.0
371,G_41_2,0.9999999999999785
372,G_41_3,1.0
373,G_41_4,0.0
374,G_41_5,1.0
375,G_41_6,0.0
376,G_41_7,1.0
377,G_41_8,0.0
378,G_42_0,0.0
379,G_42_1,0.0
380,G_42_2,0.0
381,G_42_3,1.0
382,G_42_4,0.0
383,G_42_5,1.0
384,G_42_6,0.0
385,G_42_7,1.0
386,G_42_8,0.0
387,G_43_0,0.0
388,G_43_1,0.0
389,G_43_2,-0.0
390,G_43_3,1.0
391,G_43_4,-0.0
392,G_43_5,-0.0
393,G_43_6,0.0
394,G_43_7,1.0
395,G_43_8,-0.0
396,G_44_0,0.0
397,G_44_1,0.0
398,G_44_2,-0.0
399,G_44_3,1.0
400,G_44_4,-0.0
401,G_44_5,0.0
402,G_44_6,0.0
403,G_44_7,1.0
404,G_44_8,1.0
405,G_45_0,0.0
406,G_45_1,0.0
407,G_45_2,0.0
408,G_45_3,1.0
409,G_45_4,0.0
410,G_45_5,0.0
411,G_45_6,0.0
412,G_45_7,1.0
413,G_45_8,0.0
414,G_46_0,0.0
415,G_46_1,-0.0
416,G_46_2,0.0
417,G_46_3,-0.0
418,G_46_4,-0.0
419,G_46_5,-0.0
420,G_46_6,-0.0
421,G_46_7,1.0
422,G_46_8,-0.0
423,G_47_0,0.0
424,G_47_1,-0.0
425,G_47_2,1.0
426,G_47_3,0.0
427,G_47_4,0.0
428,G_47_5,0.0
429,G_47_6,0.0
430,G_47_7,1.0
431,G_47_8,-0.0
432,G_48_0,0.0
433,G_48_1,-0.0
434,G_48_2,1.0
435,G_48_3,1.0
436,G_48_4,0.0
437,G_48_5,0.0
438,G_48_6,0.0
439,G_48_7,1.0
440,G_48_8,-0.0
441,G_49_0,0.0
442,G_49_1,-0.0
443,G_49_2,1.0
444,G_49_3,1.0
445,G_49_4,0.0
446,G_49_5,1.0
447,G_49_6,0.0
448,G_49_7,1.0
449,G_49_8,0.0
450,G_50_0,0.0
451,G_50_1,0.0
452,G_50_2,1.0
453,G_50_3,1.0
454,G_50_4,0.0
455,G_50_5,0.9999999999999996
456,G_50_6,0.0
457,G_50_7,1.0
458,G_50_8,1.0
459,G_51_0,0.0
460,G_51_1,0.0
461,G_51_2,1.0
462,G_51_3,1.0
463,G_51_4,0.0
464,G_51_5,0.0
465,G_51_6,0.0
466,G_51_7,1.0
467,G_51_8,1.0
468,G_52_0,0.0
469,G_52_1,0.0
470,G_52_2,1.0
471,G_52_3,0.0
472,G_52_4,0.0
473,G_52_5,0.0
474,G_52_6,0.0
475,G_52_7,1.0
476,G_52_8,1.0
477,G_53_0,-0.0
478,G_53_1,0.0
479,G_53_2,1.0
480,G_53_3,0.0
481,G_53_4,0.0
482,G_53_5,0.0
483,G_53_6,0.0
484,G_53_7,1.0
485,G_53_8,0.0
486,G_54_0,-0.0
487,G_54_1,0.0
488,G_54_2,1.0
489,G_54_3,1.0
490,G_54_4,0.0
491,G_54_5,0.0
492,G_54_6,0.0
493,G_54_7,1.0
494,G_54_8,0.0
495,G_55_0,0.0
496,G_55_1,0.0
497,G_55_2,1.0
498,G_55_3,2.0
499,G_55_4,0.0
500,G_55_5,0.0
501,G_55_6,0.0
502,G_55_7,1.0
503,G_55_8,0.0
504,G_56_0,0.0
505,G_56_1,0.0
506,G_56_2,0.0
507,G_56_3,2.0
508,G_56_4,0.0
509,G_56_5,0.0
510,G_56_6,0.0
511,G_56_7,1.0
512,G_56_8,-0.0
513,G_57_0,0.0
514,G_57_1,0.0
515,G_57_2,0.0
516,G_57_3,2.0
517,G_57_4,0.0
518,G_57_5,0.0
519,G_57_6,0.0
520,G_57_7,1.0
521,G_57_8,1.0
522,G_58_0,0.0
523,G_58_1,0.0
524,G_58_2,0.0
525,G_58_3,2.0
526,G_58_4,0.0
527,G_58_5,0.0
528,G_58_6,0.0
529,G_58_7,1.0
530,G_58_8,0.0
531,G_59_0,0.0
532,G_59_1,0.0
533,G_59_2,0.0
534,G_59_3,2.0
535,G_59_4,0.0
536,G_59_5,0.0
537,G_59_6,-0.0
538,G_59_7,0.0
539,G_59_8,-0.0
540,G_60_0,0.0
541,G_60_1,0.0
542,G_60_2,0.0
543,G_60_3,2.0
544,G_60_4,0.0
545,G_60_5,1.0
546,G_60_6,-0.0
547,G_60_7,0.0
548,G_60_8,-0.0
549,G_61_0,0.0
550,G_61_1,0.0
551,G_61_2,0.0
552,G_61_3,2.0
553,G_61_4,0.0
554,G_61_5,0.0
555,G_61_6,0.0
556,G_61_7,0.0
557,G_61_8,0.0
558,G_62_0,0.0
559,G_62_1,0.0
560,G_62_2,0.0
561,G_62_3,1.0
562,G_62_4,0.0
563,G_62_5,0.0
564,G_62_6,0.0
565,G_62_7,0.0
566,G_62_8,0.0
567,G_63_0,-0.0
568,G_63_1,-0.0
569,G_63_2,-0.0
570,G_63_3,-0.0
571,G_63_4,-0.0
572,G_63_5,-0.0
573,G_63_6,0.0
574,G_63_7,0.0
575,G_63_8,0.0
576,G_64_0,-0.0
577,G_64_1,-0.0
578,G_64_2,0.0
579,G_64_3,0.0
580,G_64_4,0.0
581,G_64_5,0.0
582,G_64_6,0.0
583,G_64_7,1.0
584,G_64_8,0.0
585,G_65_0,-0.0
586,G_65_1,-0.0
587,G_65_2,0.0
588,G_65_3,0.0
589,G_65_4,0.0
590,G_65_5,0.0
591,G_65_6,0.0
592,G_65_7,1.0
593,G_65_8,1.0
594,G_66_0,-0.0
595,G_66_1,-0.0
596,G_66_2,0.0
597,G_66_3,0.0
598,G_66_4,1.0
599,G_66_5,0.0
600,G_66_6,0.0
601,G_66_7,1.0
602,G_66_8,1.0
603,G_67_0,0.0
604,G_67_1,0.0
605,G_67_2,0.0
606,G_67_3,1.0
607,G_67_4,1.0
608,G_67_5,0.0
609,G_67_6,0.0
610,G_67_7,1.0
611,G_67_8,1.0
612,G_68_0,0.0
613,G_68_1,0.0
614,G_68_2,0.0
615,G_68_3,1.0
616,G_68_4,1.0
617,G_68_5,0.0
618,G_68_6,0.0
619,G_68_7,1.0
620,G_68_8,0.0
621,G_69_0,0.0
622,G_69_1,0.0
623,G_69_2,0.0
624,G_69_3,1.0
625,G_69_4,0.0
626,G_69_5,0.0
627,G_69_6,0.0
628,G_69_7,1.0
629,G_69_8,-0.0
630,G_70_0,0.0
631,G_70_1,0.0
632,G_70_2,0.0
633,G_70_3,1.0
634,G_70_4,0.0
635,G_70_5,0.9999999999999996
636,G_70_6,0.0
637,G_70_7,1.0
638,G_70_8,0.0
639,G_71_0,0.0
640,G_71_1,0.0
641,G_71_2,0.0
642,G_71_3,1.0
643,G_71_4,0.0
644,G_71_5,-0.0
645,G_71_6,0.0
646,G_71_7,1.0
647,G_71_8,0.0
648,G_72_0,0.0
649,G_72_1,0.0
650,G_72_2,0.0
651,G_72_3,1.0
652,G_72_4,0.0
653,G_72_5,0.0
654,G_72_6,0.0
655,G_72_7,2.0
656,G_72_8,0.0
657,G_73_0,-0.0
658,G_73_1,-0.0
659,G_73_2,0.0
660,G_73_3,-0.0
661,G_73_4,-0.0
662,G_73_5,0.0
663,G_73_6,0.0
664,G_73_7,2.0
665,G_73_8,-0.0
666,G_74_0,-0.0
667,G_74_1,-0.0
668,G_74_2,0.0
669,G_74_3,0.0
670,G_74_4,0.0
671,G_74_5,1.0
672,G_74_6,0.0
673,G_74_7,2.0
674,G_74_8,-0.0
675,G_75_0,0.0
676,G_75_1,0.0
677,G_75_2,0.0
678,G_75_3,0.0
679,G_75_4,0.0
680,G_75_5,1.0
681,G_75_6,0.0
682,G_75_7,2.0
683,G_75_8,1.0
684,G_76_0,0.0
685,G_76_1,0.0
686,G_76_2,0.0
687,G_76_3,0.0
688,G_76_4,-0.0
689,G_76_5,-0.0
690,G_76_6,0.0
691,G_76_7,2.0
692,G_76_8,1.0
693,G_77_0,0.0
694,G_77_1,0.0
695,G_77_2,0.0
696,G_77_3,0.0
697,G_77_4,0.0
698,G_77_5,1.0000000000000002
699,G_77_6,0.0
700,G_77_7,2.0
701,G_77_8,1.0
702,G_78_0,0.0
703,G_78_1,0.0
704,G_78_2,0.0
705,G_78_3,0.0
706,G_78_4,0.0
707,G_78_5,1.0000000000000002
708,G_78_6,0.0
709,G_78_7,2.0
710,G_78_8,0.0
711,G_79_0,0.0
712,G_79_1,0.0
713,G_79_2,0.0
714,G_79_3,0.0
715,G_79_4,0.0
716,G_79_5,2.0
717,G_79_6,0.0
718,G_79_7,2.0
719,G_79_8,0.0
720,G_80_0,0.0
721,G_80_1,0.0
722,G_80_2,0.0
723,G_80_3,0.0
724,G_80_4,0.0
725,G_80_5,0.9999999999999999
726,G_80_6,0.0
727,G_80_7,2.0
728,G_80_8,-0.0
729,G_81_0,0.0
730,G_81_1,0.0
731,G_81_2,0.0
732,G_81_3,0.0
733,G_81_4,0.0
734,G_81_5,2.0
735,G_81_6,0.0
736,G_81_7,2.0
737,G_81_8,0.0
738,G_82_0,0.0
739,G_82_1,0.0
740,G_82_2,0.0
741,G_82_3,-0.0
742,G_82_4,-0.0
743,G_82_5,0.9999999999999999
744,G_82_6,0.0
745,G_82_7,2.0
746,G_82_8,0.0
747,G_83_0,0.0
748,G_83_1,0.0
749,G_83_2,0.0
750,G_83_3,1.0
751,G_83_4,0.0
752,G_83_5,0.9999999999999999
753,G_83_6,0.0
754,G_83_7,2.0
755,G_83_8,0.0
756,G_84_0,0.0
757,G_84_1,0.0
758,G_84_2,0.0
759,G_84_3,1.0
760,G_84_4,-0.0
761,G_84_5,-0.0
762,G_84_6,0.0
763,G_84_7,2.0
764,G_84_8,-0.0
765,G_85_0,0.0
766,G_85_1,0.0
767,G_85_2,0.0
768,G_85_3,1.0
769,G_85_4,-0.0
770,G_85_5,-0.0
771,G_85_6,1.0
772,G_85_7,2.0
773,G_85_8,-0.0
774,G_86_0,0.0
775,G_86_1,0.0
776,G_86_2,0.0
777,G_86_3,1.0
778,G_86_4,0.0
779,G_86_5,0.0
780,G_86_6,1.0
781,G_86_7,3.0
782,G_86_8,0.0
783,G_87_0,0.0
784,G_87_1,0.0
785,G_87_2,0.0
786,G_87_3,2.0
787,G_87_4,0.0
788,G_87_5,0.0
789,G_87_6,1.0
790,G_87_7,3.0
791,G_87_8,0.0
792,G_88_0,0.0
793,G_88_1,0.0
794,G_88_2,0.0
795,G_88_3,1.0
796,G_88_4,0.0
797,G_88_5,0.0
798,G_88_6,1.0
799,G_88_7,3.0
800,G_88_8,0.0
801,G_89_0,0.0
802,G_89_1,0.0
803,G_89_2,0.0
804,G_89_3,1.0
805,G_89_4,0.0
806,G_89_5,0.0
807,G_89_6,2.0
808,G_89_7,3.0
809,G_89_8,0.0
810,G_90_0,0.0
811,G_90_1,0.0
812,G_90_2,0.0
813,G_90_3,1.0
814,G_90_4,0.0
815,G_90_5,1.0
816,G_90_6,2.0
817,G_90_7,3.0
818,G_90_8,0.0
819,G_91_0,0.0
820,G_91_1,0.0
821,G_91_2,0.0
822,G_91_3,1.0
823,G_91_4,0.0
824,G_91_5,2.0
825,G_91_6,2.0
826,G_91_7,3.0
827,G_91_8,0.0
828,G_92_0,0.0
829,G_92_1,0.0
830,G_92_2,0.0
831,G_92_3,2.0
832,G_92_4,0.0
833,G_92_5,2.0
834,G_92_6,2.0
835,G_92_7,3.0
836,G_92_8,0.0
837,G_93_0,0.0
838,G_93_1,0.0
839,G_93_2,0.0
840,G_93_3,3.0
841,G_93_4,0.0
842,G_93_5,2.0
843,G_93_6,2.0
844,G_93_7,3.0
845,G_93_8,0.0
846,G_94_0,0.0
847,G_94_1,0.0
848,G_94_2,0.0
849,G_94_3,3.0
850,G_94_4,0.0
851,G_94_5,3.0
852,G_94_6,2.0
853,G_94_7,3.0
854,G_94_8,0.0
855,G_95_0,-0.0
856,G_95_1,-0.0
857,G_95_2,0.0
858,G_95_3,3.0
859,G_95_4,0.0
860,G_95_5,2.0
861,G_95_6,2.0
862,G_95_7,3.0
863,G_95_8,0.0
864,G_96_0,-0.0
865,G_96_1,-0.0
866,G_96_2,0.0
867,G_96_3,4.0
868,G_96_4,0.0
869,G_96_5,2.0
870,G_96_6,2.0
871,G_96_7,3.0
872,G_96_8,0.0
873,G_97_0,0.0
874,G_97_1,0.0
875,G_97_2,0.0
876,G_97_3,4.0
877,G_97_4,0.0
878,G_97_5,1.0
879,G_97_6,2.0
880,G_97_7,3.0
881,G_97_8,0.0
882,G_98_0,0.0
883,G_98_1,0.0
884,G_98_2,0.0
885,G_98_3,4.0
886,G_98_4,0.0
887,G_98_5,2.0
888,G_98_6,2.0
889,G_98_7,3.0
890,G_98_8,0.0
891,G_99_0,0.0
892,G_99_1,1.0
893,G_99_2,1.9999999999999785
894,G_99_3,5.0
895,G_99_4,0.9999999999999997
896,G_99_5,1.9999999999999645
897,G_99_6,0.0
898,G_99_7,1.0
899,G_99_8,-0.0
900,G_100_0,-0.0
901,G_100_1,-0.0
902,G_100_2,-0.0
903,G_100_3,-0.0
904,G_100_4,-0.0
905,G_100_5,-0.0
906,G_100_6,-0.0
907,G_100_7,-0.0
908,G_100_8,-0.0
909,G_101_0,-0.0
910,G_101_1,-0.0
911,G_101_2,-0.0
912,G_101_3,-0.0
913,G_101_4,-0.0
914,G_101_5,-0.0
915,G_101_6,-0.0
916,G_101_7,-0.0
917,G_101_8,0.0
918,G_102_0,-0.0
919,G_102_1,-0.0
920,G_102_2,-0.0
921,G_102_3,-0.0
922,G_102_4,-0.0
923,G_102_5,-0.0
924,G_102_6,-0.0
925,G_102_7,-0.0
926,G_102_8,-0.0
927,G_103_0,-0.0
928,G_103_1,-0.0
929,G_103_2,-0.0
930,G_103_3,-0.0
931,G_103_4,-0.0
932,G_103_5,-0.0
933,G_103_6,-0.0
934,G_103_7,-0.0
935,G_103_8,0.0
936,G_104_0,-0.0
937,G_104_1,-0.0
938,G_104_2,-0.0
939,G_104_3,-0.0
940,G_104_4,-0.0
941,G_104_5,-0.0
942,G_104_6,-0.0
943,G_104_7,-0.0
944,G_104_8,0.0
945,G_105_0,-0.0
946,G_105_1,-0.0
947,G_105_2,-0.0
948,G_105_3,-0.0
949,G_105_4,-0.0
950,G_105_5,1.0
951,G_105_6,-0.0
952,G_105_7,-0.0
953,G_105_8,0.0
954,G_106_0,0.0
955,G_106_1,0.0
956,G_106_2,0.0
957,G_106_3,-0.0
958,G_106_4,-0.0
959,G_106_5,0.0
960,G_106_6,0.0
961,G_106_7,0.0
962,G_106_8,0.0
963,G_107_0,0.0
964,G_107_1,0.0
965,G_107_2,0.0
966,G_107_3,0.0
967,G_107_4,0.0
968,G_107_5,1.0
969,G_107_6,0.0
970,G_107_7,0.0
971,G_107_8,0.0
972,G_108_0,0.0
973,G_108_1,0.0
974,G_108_2,0.0
975,G_108_3,0.0
976,G_108_4,0.9999999999999997
977,G_108_5,0.0
978,G_108_6,0.0
979,G_108_7,1.0
980,G_108_8,0.0
981,G_109_0,-0.0
982,G_109_1,-0.0
983,G_109_2,-0.0
984,G_109_3,-0.0
985,G_109_4,-0.0
986,G_109_5,-0.0
987,G_109_6,-0.0
988,G_109_7,1.0
989,G_109_8,-0.0
990,G_110_0,-0.0
991,G_110_1,-0.0
992,G_110_2,-0.0
993,G_110_3,-0.0
994,G_110_4,-0.0
995,G_110_5,-0.0
996,G_110_6,-0.0
997,G_110_7,1.0
998,G_110_8,1.0
999,G_111_0,0.0
1000,G_111_1,0.0
1001,G_111_2,-0.0
1002,G_111_3,-0.0
1003,G_111_4,-0.0
1004,G_111_5,-0.0
1005,G_111_6,-0.0
1006,G_111_7,0.0
1007,G_111_8,1.0
1008,G_112_0,0.0
1009,G_112_1,0.0
1010,G_112_2,-0.0
1011,G_112_3,-0.0
1012,G_112_4,0.0
1013,G_112_5,-0.0
1014,G_112_6,-0.0
1015,G_112_7,0.0
1016,G_112_8,2.0
1017,G_113_0,0.0
1018,G_113_1,0.0
1019,G_113_2,0.0
1020,G_113_3,0.0
1021,G_113_4,-0.0
1022,G_113_5,-0.0
1023,G_113_6,0.0
1024,G_113_7,1.0
1025,G_113_8,-0.0
1026,G_114_0,-0.0
1027,G_114_1,-0.0
1028,G_114_2,-0.0
1029,G_114_3,-0.0
1030,G_114_4,-0.0
1031,G_114_5,-0.0
1032,G_114_6,-0.0
1033,G_114_7,-0.0
1034,G_114_8,-0.0
1035,G_115_0,-0.0
1036,G_115_1,-0.0
1037,G_115_2,-0.0
1038,G_115_3,-0.0
1039,G_115_4,0.0
1040,G_115_5,1.0
1041,G_115_6,-0.0
1042,G_115_7,-0.0
1043,G_115_8,0.0
1044,G_116_0,0.0
1045,G_116_1,0.0
1046,G_116_2,-0.0
1047,G_116_3,-0.0
1048,G_116_4,0.0
1049,G_116_5,0.0
1050,G_116_6,-0.0
1051,G_116_7,0.0
1052,G_116_8,0.0
1053,G_117_0,0.0
1054,G_117_1,0.0
1055,G_117_2,0.0
1056,G_117_3,0.0
1057,G_117_4,0.0
1058,G_117_5,1.0
1059,G_117_6,0.0
1060,G_117_7,0.0
1061,G_117_8,0.0
1062,G_118_0,0.0
1063,G_118_1,0.0
1064,G_118_2,0.0
1065,G_118_3,0.0
1066,G_118_4,0.0
1067,G_118_5,0.0
1068,G_118_6,0.0
1069,G_118_7,0.0
1070,G_118_8,1.0
1071,G_119_0,-0.0
1072,G_119_1,-0.0
1073,G_119_2,-0.0
1074,G_119_3,-0.0
1075,G_119_4,-0.0
1076,G_119_5,-0.0
1077,G_119_6,-0.0
1078,G_119_7,0.0
1079,G_119_8,0.0
1080,G_120_0,-0.0
1081,G_120_1,-0.0
1082,G_120_2,-0.0
1083,G_120_3,0.0
1084,G_120_4,0.0
1085,G_120_5,1.0
1086,G_120_6,0.0
1087,G_120_7,0.0
1088,G_120_8,0.0
1089,G_121_0,0.0
1090,G_121_1,0.0
1091,G_121_2,0.0
1092,G_121_3,0.0
1093,G_121_4,0.0
1094,G_121_5,0.0
1095,G_121_6,0.0
1096,G_121_7,0.0
1097,G_121_8,0.0
1098,G_122_0,0.0
1099,G_122_1,0.0
1100,G_122_2,0.0
1101,G_122_3,0.0
1102,G_122_4,0.0
1103,G_122_5,0.0
1104,G_122_6,0.0
